tool_id,description,type,note,source,discovered_by,date,backtesting,amount,context
slither,"Edgeware Lockdrop DoS bug ($900M at risk)",,,https://blog.trailofbits.com/2019/07/03/avoiding-smart-contract-gridlock-with-slither/,,2019-07-03,true,900000000,
slither,"SushiSwap MISO msg.value reuse ($350M saved)",,,https://blog.trailofbits.com/2021/12/16/detecting-miso-and-opyns-msg-value-reuse-vulnerability-with-slither/,,2021-12-16,true,350000000,
mythril,"Parity Wallet SELFDESTRUCT ($280M frozen)",,,https://hackernoon.com/what-caused-the-latest-100-million-ethereum-bug-and-a-detection-tool-for-similar-bugs-7b80f8ab7279,,2017-11-08,true,280000000,
certora,"MakerDAO Fundamental Equation bug (4 years undetected)",,,https://hackmd.io/@SaferMaker/DAICertoraSurprise,,2022-06-15,false,,audit
certora,"SushiSwap Trident pool drain vulnerability",,,https://medium.com/certora/exploiting-an-invariant-break-how-we-found-a-pool-draining-bug-in-sushiswaps-trident-585bd98a4d4f,,2021-11-21,false,,audit
certora,"Aave 28 bugs prevented (1 critical, 2 high)",,,https://governance-v2.aave.com/governance/proposal/114/,,2022-11-08,false,,audit
echidna,"0x Protocol order cancellation bugs",,,https://blog.trailofbits.com/2020/03/30/an-echidna-for-all-seasons/,,2020-03-30,false,,audit
foundry-fuzz,"Beanstalk Wells invariant violation (HIGH)",Cyfrin audit finding,Found during real audit engagement via invariant testing,https://medium.com/cyfrin/invariant-testing-enter-the-matrix-c71363dea37e,,2023-03-30,false,,audit
ityfuzz,"126 vulnerabilities in large real-world projects",Benchmark evaluation,"Echidna found 0, Mythril found 9 on same projects",https://dl.acm.org/doi/10.1145/3597926.3598059,,2023-07-13,true,,
ityfuzz,"$500K+ in exploitable assets across 21 vulnerable projects","Liquidity pools, ERC20 tokens, GameFi","Scanned 45,000 projects (150k+ contracts) on BSC and ETH",https://dl.acm.org/doi/10.1145/3597926.3598059,,2023-07-13,false,500000,bbp
ityfuzz,"109 exploits generated from 200 historical hacks",Backtesting on exploited projects,"No manual effort or prior knowledge required",https://dl.acm.org/doi/10.1145/3597926.3598059,,2023-07-13,true,,
sherlock-ai,"$2M withdrawal bug in lending protocol (pre-launch)",Rounding error in withdrawal function,First publicly reported multi-million-dollar case caught by an AI auditor,https://sherlock.xyz/post/how-sherlock-ai-uncovered-a-2m-vulnerability-before-launch,@vagnerandrei98 using Sherlock AI,2025-10-01,false,2000000,audit
octane,"Refund calculation bug in Decent (post-2 audits)",Contract balance used instead of delta for refund calculation,Could have drained all tokens in contract,https://www.octane.security/post/how-octane-ai-secured-decents-smart-contracts,,2025-04-07,false,,audit
octane,"Inflatable token vault price oracle exploit in Decent",Price oracle manipulation via frontrunning,Severe potential for token loss,https://www.octane.security/post/how-octane-ai-secured-decents-smart-contracts,,2025-04-07,false,,audit
octane,"Sophon/Covenant partnership - AI code security",Client integration,Cross-contract vulnerability detection for Sophon builders,https://www.octane.security/post/octane-sophon-partnership-for-ai-code-security,,2025-06-02,false,,client
octane,"ScorePlay - sports prediction platform security",Client integration,AI-powered smart contract security for sports prediction,https://www.octane.security/post/octane-smart-contract-security-for-scoreplay,,2025-07-24,false,,client
octane,"Avalanche integration: 217 findings flagged",Platform integration,"210,881 lines scanned across Avalanche projects",https://www.prnewswire.com/news-releases/octane-and-avalanche-launch-first-builder-native-security-integration-for-web3-development-302515974.html,,2025-07-29,false,,client
octane,"Plume RWA finance partnership",Client integration,Core infrastructure protection for real-world asset blockchain,https://www.octane.security/post/octane-plume-real-world-asset-finance-security-partnership,,2025-09-10,false,,client
octane,"Circle USDC security partnership",Client integration,AI security reviews for developers building with USDC,https://www.octane.security/post/octane-circle-building-the-security-layer-for-onchain-money,,2025-09-26,false,,client
octane,"Ostium CI/CD integration",Client integration,"Perps platform with ~$20B traded volume, every commit analyzed",https://www.octane.security/post/ostium-shifts-security-left-with-octane-integration,,2025-10-02,false,,client
octane,"Superform continuous protection",Client integration,Security-first onchain wealth management architecture,https://www.octane.security/post/superform-security-first-architecture-with-octane,,2025-11-11,false,,client
v12,"$5M integer overflow bug (USDT stolen)",Unchecked pointer addition in inline assembly,Missed by multiple past audits - retroactive analysis,https://www.zellic.io/blog/introducing-v12/,,2025-09-25,true,5000000,
v12,"$335K transient memory misuse",TSTORE/TLOAD misuse in Uniswap V3 callback,Missed in protocol audit - retroactive analysis,https://www.zellic.io/blog/introducing-v12/,,2025-09-25,true,335000,
v12,"6 Cantina competitions: 2 High, 2 Medium, 4 Low, 9 Info",Audit competition findings,Entered 6 competitions against human auditors,https://www.zellic.io/blog/introducing-v12/,,2024-09-25,false,,competition
v12,"Code4rena SukukFi pre-audit: 1 High, 1 Medium, 18 Low, 5 QA",Code4rena pre-audit,V12 findings marked out-of-scope for wardens,https://github.com/code-423n4/2025-11-sukukfi/blob/main/2025_11_sukukfi_v12.md,,2025-12-05,false,,competition
v12,"Code4rena Garden pre-audit: 1 High",Code4rena pre-audit,V12 findings marked out-of-scope for wardens,https://github.com/code-423n4/2025-11-garden/blob/main/2025-11-garden-V12-findings.md,,2025-12-08,false,,competition
v12,"Code4rena Megapot pre-audit: 14 Low",Code4rena pre-audit,V12 findings marked out-of-scope for wardens,https://github.com/code-423n4/2025-11-megapot/blob/main/2025-11-megapot_V12.md,,2025-11-13,false,,competition
v12,"Code4rena Ekubo pre-audit: 5 Low",Code4rena pre-audit,V12 findings marked out-of-scope for wardens,https://github.com/code-423n4/2025-11-ekubo/blob/main/2025-11-ekubo_V12.md,,2025-12-10,false,,competition
v12,"Code4rena Covenant pre-audit: 4 Low, 76 QA",Code4rena pre-audit,V12 findings marked out-of-scope for wardens,https://github.com/code-423n4/2025-10-covenant/blob/main/2025-10-covenant_V12.md,,2025-11-03,false,,competition
v12,"Code4rena Hybra Finance pre-audit: 7 High, 3 Medium, 23 Low",Code4rena pre-audit,V12 findings marked out-of-scope for wardens,https://github.com/code-423n4/2025-10-hybra-finance/blob/main/Hybra-V12-output.md,,2025-10-16,false,,competition
v12,"Code4rena Sequence pre-audit: 5 Low",Code4rena pre-audit,V12 findings marked out-of-scope for wardens,https://github.com/code-423n4/2025-11-sequence/blob/main/2025-11-sequence-v12-findings.md,,2025-11-17,false,,competition
nethermind-auditagent,"ResupplyFi exchange rate miscalculation",Exchange rate logic error,"$9.8M hack (Jun 27, 2025) - would have been caught if run beforehand",https://www.nethermind.io/blog/how-nethermind-security-uses-auditagent-alongside-manual-audits,,2025-10-01,true,9800000,
zerocool,"Solarity solidity-lib audit: 2 Critical, 4 High, 1 Medium, 6 Low, 2 Info (15 total)","Cryptographic flaws, ERC-4337 incompatibility, data structure bugs","Volunteer audit - no payment. Led to v3.3.0 release. Maintainer: 'indistinguishable from human-made audit'",https://hackmd.io/rAhJFzFmTgeDVKrX-Et-Gg,,2025-11-18,false,,audit
the-hound,"Code4rena SecondSwap: 10 true positives (1 High, 7 Medium)",Research evaluation,"33.3% detection rate under strict matching, estimated top 15-25 out of 294",https://muellerberndt.medium.com/unleashing-the-hound-how-ai-agents-find-deep-logic-bugs-in-any-codebase-64c2110e3a6f,,2025-01-15,true,,
the-hound,"Smart contract vulnerability detection via LLM agents",Academic paper,"Arxiv preprint on AI-powered code analysis",https://arxiv.org/abs/2510.09633,,2024-10-13,false,,
nethermind-auditagent,"30% recall rate across 29 internal audits",Benchmark evaluation,"42% detection for Critical, 43% for High severity issues",https://www.nethermind.io/blog/how-nethermind-security-uses-auditagent-alongside-manual-audits,,2025-10-01,false,,audit
nethermind-auditagent,"Immunefi Audit Competition findings (1 High, 2 Medium confirmed)",Audit competition findings,Confirmed findings on Immunefi platform,https://x.com/balakhonoff/status/1989383494515212595,,2025-11-14,false,,competition
octane,"Immunefi Audit Competition findings (2 High, 1 Low confirmed)",Audit competition findings,Confirmed findings on Immunefi platform,https://x.com/octane_security/status/1998125084888945104,,2025-12-08,false,,competition
vulsight,"HackenProof BBP: vulnerability ($50K payout)",BBP report,"Bug bounty payout on HackenProof platform.",https://x.com/VulsightSec/status/2014613435867156692,,2026-01-23,false,50000,bbp
vulsight,"Immunefi BBP: Critical smart contract vulnerability (non-disclosable)",BBP report,"Non-disclosable program. 'Bought the BMW' badge ($100K+ cumulative). 1 Critical BBP report on profile.",https://immunefi.com/profile/vulsight/achievements/,,2025-03-01,false,100000,bbp
